title,org,level,term,closing_date,posted_date
Director / Community Projects,National Parks Board,Entry level,Permanent/Contract,Closing in 2  day(s),1 week(s) ago
Assistant Engineer (Water Quality Management),"PUB, The National Water Agency",Entry level,Permanent/Contract,Closing in 2  day(s),1 week(s) ago
"Head, Cybersecurity Audit, Audit",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 27 Mar 2022,1 week(s) ago
"Senior/Principal Executive, Projects Management (11 Months Contract)",Singapore Land Authority,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
"Lead Engineer/Engineer, Cybersecurity System Management & Deployment, Ops System",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
Student Guidance Officer - Student Services,Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),1 week(s) ago
Assistant Manager/ Manager (Centre for Environmental Training) – Contract,National Environment Agency,01-02 year(s),Contract,Closing in 5  day(s),1 week(s) ago
"Executive (Service Transformation & Planning), ServiceSG - 1 year Temp",Public Service Division,Entry level,Contract,Closing in 4  day(s),1 week(s) ago
Information Services Executive (LEGAL Group),Housing and Development Board,Entry level,Permanent/Contract,Closing on 23 Mar 2022,1 week(s) ago
Senior Associate/ Associate (Policy and Governance),Ministry of Finance,Entry level,Permanent/Contract,Closing in 3  day(s),1 week(s) ago
Senior Associate/Associate (Development Projects),Ministry of Finance,Entry level,Permanent/Contract,Closing in 3  day(s),1 week(s) ago
Corporate Communications Manager,Housing and Development Board,01-02 year(s),Permanent/Contract,Closing in 3  day(s),1 week(s) ago
Senior Associate/ Associate (Policy and Practices),Ministry of Finance,Entry level,Permanent/Contract,Closing in 3  day(s),1 week(s) ago
Contracts / Senior Contracts Manager,JTC Corporation,Entry level,Permanent/Contract,Closing on 28 Mar 2022,1 week(s) ago
Engineer/Facade Engineer (Façade Engineering & Technology Dept),Building and Construction Authority,03-00 year(s),Permanent/Contract,Closing in 3  day(s),1 week(s) ago
The MTI Trade Internship Programme – TIP@MTI (Summer 2022),Ministry of Trade and Industry,Entry level,Internship,Closing in 6  day(s),1 week(s) ago
"Senior Manager, Capability Funding",National Council of Social Service,05-07 year(s),Contract,Closing on 21 Mar 2022,1 week(s) ago
Administrative Executive (Contract),Housing and Development Board,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
Manager (Insights & Advisory),Public Transport Council,04-10 year(s),Permanent/Contract,Closing in 4  day(s),1 week(s) ago
"Associate IP Strategist, IPOS International",Intellectual Property Office of Singapore,00-03 year(s),Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
"Manager (Digital Experience Delivery), National Museum of Singapore [Contract]",National Heritage Board,Entry level,Contract,Closing in 4  day(s),1 week(s) ago
"Senior Assistant Director/Assistant Director (CII), CSA",Cyber Security Agency of Singapore,12-15 year(s),Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
International Relations Manager,Government Technology Agency,Entry level,Fixed Terms,Closing in 6  day(s),1 week(s) ago
Deputy / Assistant Manager (HR Operations),Civil Aviation Authority of Singapore,00-02 year(s),Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
Manager (Talent Acquisition),Civil Aviation Authority of Singapore,05-08 year(s),Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
Temp Executive - 3-month,Sport Singapore,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
#SGUnitedJobs Data Analytics Lead,Ministry of Foreign Affairs,Entry level,Contract,Closing on 28 Mar 2022,1 week(s) ago
#SGUnitedJobs General Administration Operations Specialist,Ministry of Foreign Affairs,Entry level,Contract,Closing on 28 Mar 2022,1 week(s) ago
Senior/ Manager (Maritime Technology Ecosystem) (1-Year Contract),Maritime and Port Authority of Singapore,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
#SGUnitedJobs Assistant Director  (Design Thinking/ Strategic Workforce Planning,Ministry of Foreign Affairs,Entry level,Contract,Closing on 28 Mar 2022,1 week(s) ago
"Assistant Head / Head, Procurement and Investment",Majlis Ugama Islam Singapura,02-00 year(s),Contract,Closing in 2  day(s),1 week(s) ago
"Assistant Head / Head, Financial Management",Majlis Ugama Islam Singapura,05-00 year(s),Permanent/Contract,Closing in 2  day(s),1 week(s) ago
"Manager, Fraud and Enforcement Division (1-year temporary contract)",SkillsFuture Singapore,Entry level,Fixed Terms,Closing on 22 Mar 2022,1 week(s) ago
Manager/ Wildlife Management & Outreach,National Parks Board,Entry level,Permanent/Contract,Closing in 3  day(s),1 week(s) ago
Manager/ Biodiversity (Biodiversity Information and Outreach),National Parks Board,Entry level,Permanent/Contract,Closing in 3  day(s),1 week(s) ago
"Principal Manager, Solution Architect (2-Year Contract), D@TI",SkillsFuture Singapore,Entry level,Permanent/Contract,Closing on 28 Mar 2022,1 week(s) ago
Manager/ Conservation - Sungei Buloh Wetland Reserve,National Parks Board,Entry level,Permanent/Contract,Closing in 3  day(s),1 week(s) ago
"Principal Manager, Project Manager, D@TI (2 Year Contract)",SkillsFuture Singapore,05-15 year(s),Permanent/Contract,Closing on 28 Mar 2022,1 week(s) ago
Executive Manager/ Manager/Assistant Manager (Marketing Communications Departmen,National Environment Agency,03-05 year(s),Permanent/Contract,Closing in 4  day(s),1 week(s) ago
"Executive / Senior Executive, Public Education and Engagement",Majlis Ugama Islam Singapura,Entry level,Permanent/Contract,Closing on 27 Mar 2022,2 week(s) ago
"Executive Assistant, Accounting Standards Council",Accounting and Corporate Regulatory Authority,Entry level,Permanent/Contract,Closing in 2  day(s),2 week(s) ago
"Office of Registrar - Asst Mgr/Dpy Mgr/Mgr [Graduation, Awards & Student Records",Republic Polytechnic,Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
"Manager/Assistant Manager, Media Strategy & Communications",Istana,Entry level,Permanent/Contract,Closing in 3  day(s),2 week(s) ago
"Senior Manager, ICT Policy & Standards Development",Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),2 week(s) ago
Parliamentary Officer,Parliament of Singapore,02-03 year(s),Permanent/Contract,Closing today,2 week(s) ago
Office of Registrar - Asst Mgr/Dpy Mgr [CET Admissions] (2 Year Contract),Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
Office of Technology Development - Asst Mgr/Dpy Mgr/Mgr (Analytics in Education),Republic Polytechnic,Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
Senior People Business Partner,Government Technology Agency,Entry level,Permanent,Closing on 25 Mar 2022,2 week(s) ago
"Senior Manager / Manager, ICT&SS Policy Specialist",Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),2 week(s) ago
Assistant Manager/Manager (Performance Management),National Library Board,Entry level,Fixed Terms,Closing on 24 Mar 2022,2 week(s) ago
"Assistant Head / Head, Public Education and Engagement",Majlis Ugama Islam Singapura,05-00 year(s),Permanent/Contract,Closing on 27 Mar 2022,2 week(s) ago
Cybersecurity Policy Developer,Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),2 week(s) ago
"Deputy Director, Finance Business Partner",Government Technology Agency,Entry level,Permanent,Closing on 25 Mar 2022,2 week(s) ago
School of Technology for the Arts - Associate Lecturer (Games),Republic Polytechnic,03-00 year(s),Contract,Closing on 29 Mar 2022,1 week(s) ago
"Business Partner / Senior Business Partner, Strategic Planning",Enterprise Singapore,Entry level,Permanent,Closing on 31 Mar 2022,2 week(s) ago
School of Technology for the Arts - Lecturer (Design for User Experience),Republic Polytechnic,03-00 year(s),Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
"Senior/ Manager (Financial Planning), 6 months contract (starting in Jun 2022)",Maritime and Port Authority of Singapore,Entry level,Contract,Closing on 31 Mar 2022,2 week(s) ago
School of Technology for the Arts - Lecturer (Immersive Media),Republic Polytechnic,03-00 year(s),Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
Assistant Manager / Manager (FM Operations),JTC Corporation,Entry level,Permanent,Closing on 26 Mar 2022,2 week(s) ago
School of Technology for the Arts - Lecturer (Sonic Arts),Republic Polytechnic,03-00 year(s),Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
Lecturer (Communication and Embedded Systems) - School of Electrical and Electro,Singapore Polytechnic,Entry level,Contract,Closing in 2  day(s),2 week(s) ago
"School of Management and Communication - Associate Lecturer (Econs, Governance o",Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
"Assistant Director/Executive, Futures and Transformation",Ministry of Transport,Entry level,Permanent/Contract,Closing in 3  day(s),1 week(s) ago
School of Management and Communication - Associate Lecturer (Digital Media),Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
School of Management and Communication - Associate Lecturer (HR Analytics),Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
School of Management and Communication - Associate Lecturer (Career Counselling),Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
School of Management and Communication - Associate Lecturer (Business Stats),Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
School of Technology for the Arts - Lecturer (Games),Republic Polytechnic,03-00 year(s),Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
Technical Executive,Housing and Development Board,Entry level,Permanent/Contract,Closing in 2  day(s),2 week(s) ago
School of Management and Communication - Lecturer (Business),Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
School of Management and Communication - Lecturer (HRM with Psychology),Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
School of Management and Communication - Lecturer (Consumer Behaviour&Research),Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
School of Technology for the Arts: Technical Executive (2-year contract),Republic Polytechnic,03-00 year(s),Contract,Closing on 29 Mar 2022,1 week(s) ago
Office of Student and Graduate Affairs - Senior Executive,Republic Polytechnic,Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
Office of Student and Graduate Affairs – Assistant Mgr Student/Alumni Management,Republic Polytechnic,Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
Office of Entrepreneurship Development - Assistant Manager/Deputy Manager,Republic Polytechnic,Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
Executive / Senior Executive (11.5 months temp for TSA),Temasek Polytechnic,03-05 year(s),Contract,Closing on 27 Mar 2022,1 week(s) ago
Senior Executive (Business Development & Programmes),Temasek Polytechnic,Entry level,Contract,Closing on 27 Mar 2022,1 week(s) ago
Executive/Senior Executive (Business Development & Programmes),Temasek Polytechnic,Entry level,Contract,Closing on 27 Mar 2022,1 week(s) ago
Executive/Senior Executive (Business Development),Temasek Polytechnic,Entry level,Contract,Closing on 27 Mar 2022,2 week(s) ago
Sr Engineer / Engineer (Hydro-informatics),"PUB, The National Water Agency",Entry level,Permanent/Contract,Closing today,2 week(s) ago
Intern (Compliance & Systems),Tote Board,Entry level,Internship,Closing today,2 week(s) ago
Executive / Senior Executive / Senior Manager / Assistant Director (Service Expe,Ministry of Home Affairs,Entry level,Permanent/Contract,Closing in 2  day(s),2 week(s) ago
"Manager (Volunteer Management), FPP/FDG",Ministry Of Social And Family Development,Entry level,Contract,Closing in 2  day(s),2 week(s) ago
Assistant Director/Senior Assistant Director (HR Strategy & Devt Department),National Environment Agency,08-10 year(s),Permanent/Contract,Closing in 3  day(s),1 week(s) ago
Assistant Executive (Admin & Facilities Management Department) – Contract,National Environment Agency,02-03 year(s),Contract,Closing in 2  day(s),2 week(s) ago
Executive Engineer/Senior Engineer (Environment Technology Management Department,National Environment Agency,03-05 year(s),Permanent,Closing in 2  day(s),2 week(s) ago
School of Infocomm - Lecturer (Data Analytics/Data Engineering/Machine Learning),Republic Polytechnic,03-03 year(s),Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
School of Infocomm - Senior Lecturer/Lecturer (Cloud Native Infrastructure),Republic Polytechnic,02-02 year(s),Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
Manager/Assistant Manager (Programmes and Partnerships Department),National Environment Agency,02-05 year(s),Permanent/Contract,Closing in 2  day(s),2 week(s) ago
School of Infocomm - Lecturer (Infocomm Security Management),Republic Polytechnic,03-03 year(s),Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
School of Infocomm - Lecturer (FinTech),Republic Polytechnic,03-03 year(s),Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
School of Infocomm - Lecturer (Digital Design & Development),Republic Polytechnic,03-03 year(s),Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
Intern (Regional Social and Cultural Studies),ISEAS -Yusof Ishak Institute,Entry level,Internship,Closing in 2  day(s),2 week(s) ago
Intern (Regional Strategic and Political Studies),ISEAS -Yusof Ishak Institute,Entry level,Internship,Closing in 2  day(s),2 week(s) ago
Intern (Regional Economic Studies),ISEAS -Yusof Ishak Institute,Entry level,Internship,Closing in 2  day(s),2 week(s) ago
Intern (ASEAN Studies Centre),ISEAS -Yusof Ishak Institute,Entry level,Internship,Closing in 2  day(s),2 week(s) ago
Senior Manager/ Manager (Enterprise Risk),Ministry of Communications and Information,02-03 year(s),Permanent/Contract,Closing today,2 week(s) ago
Intern (IT Infrastructure Support),ISEAS -Yusof Ishak Institute,Entry level,Internship,Closing in 2  day(s),2 week(s) ago
Assistant Director/Senior Manager /Manager (Planning),Ministry of Communications and Information,03-15 year(s),Permanent/Contract,Closing today,2 week(s) ago
Academy for Continuing Education@RP - CET Finance Administrator (Contract),Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
Planner,Housing and Development Board,Entry level,Permanent/Contract,Closing in 2  day(s),2 week(s) ago
"Senior Consultant (IoT Security), Cybersecurity Engineering Centre, CSA",Cyber Security Agency of Singapore,05-08 year(s),Permanent/Contract,Closing on 31 Mar 2022,2 week(s) ago
Academy for Continuing Education@RP - Asst Mgr/Dpy Mgr/Mgr(Business Development),Republic Polytechnic,Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
Office of Information Services - Asst Mgr/Dpy Mgr/Mgr (Academic/Corporate),Republic Polytechnic,Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
Manager to Senior Manager Business Innovation & Data Partnerships,Singapore Tourism Board,Entry level,Permanent,Closing on 25 Mar 2022,2 week(s) ago
"Product Manager, Visitor Experience Technology, Visitor Experience",Singapore Tourism Board,Entry level,Permanent,Closing on 25 Mar 2022,2 week(s) ago
Office of Information Services - Asst Mgr/Dpy Mgr/Mgr (Digitalisation),Republic Polytechnic,Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
Office of Information Services - Asst Mgr/Dpy Mgr/Mgr (Learning App Development),Republic Polytechnic,Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
School of Infocomm - Associate Lecturer,Republic Polytechnic,03-05 year(s),Contract,Closing on 31 Mar 2022,1 week(s) ago
Office of Information Services - Assistant/Deputy Manager (Data Management),Republic Polytechnic,Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
School of Infocomm - Senior Technical Executive (TE) / TE (2-Year Contract),Republic Polytechnic,03-03 year(s),Contract,Closing on 31 Mar 2022,1 week(s) ago
